Title,Publisher,TV Format,MD5,Bankswitch Type,7800 Detected,7800 works,7800 plays through,notes
"2 Pak Special - Challenge, Surfing",HES ,PAL,fd7464edaa8cc264b97ba0d13e7f0678,F6,,,,
"2 Pak Special - Hoppy, Alien Force",HES ,PAL,5b9c2e0012fbfd29efd3306359bbfc4a,F6,,,,
"2 Pak Special - Star Warrior, Frogger",HES ,PAL,4d2cef8f19cafeec72d142e34a1bbc03,F6,,,,
32 in 1 Game Cartridge,Atari  ,PAL,291bcdb05f2b37cdf9452d2bf08e0321,F0,,,,
3-D Tic-Tac-Toe,Atari,NTSC,0db4f4150fecf77e4ce72ca4d04c052f,2K,,,,
3-D Tic-Tac-Toe,Atari,NTSC,f3213a8a702b0646d2eaf9ee0722b51c,2K,,,,
3-D Tic-Tac-Toe,Atari ,PAL,7b5207e68ee85b16998bea861987c690,2K,,,,
"Misterious Thief, A",CCE,NTSC,e13818a5c0cb2f84dd84368070e9f099,4K,,,,
"A-Team, The",Atari ,NTSC,c00734a2233ef683d9b6e622ac97a5c8,F8,,,,
Acid Drop,Salu ,PAL,17ee23e5da931be82f733917adcb6386,F6,,,,
Action Force,Parker Bros ,PAL,d573089534ca596e64efef474be7b6bc,4K,,,,
Adventure,Atari,NTSC,157bddb7192754a45372be196797f284,4K,,,,
Adventures of TRON,M Network,NTSC,ca4f8c5b4d6fb9d608bb96bc7ebd26c7,4K,,,,
Adventures on GX-12,Telegames ,PAL,06cfd57f0559f38b9293adae9128ff88,4K,,,,
Air Raid,Men-A-Vision ,PAL,35be55426c1fec32dfb503b4f0651572,4K,,,,
Air Raiders,M Network,NTSC,a9cb638cd2cb2e8e0643d7a67db4281c,4K,,,,
Air-Sea Battle,Atari,NTSC,16cb43492987d2f32b423817cdaaf7c4,2K,,,,
Air-Sea Battle,Atari,NTSC,1d1d2603ec139867c1d1f5ddf83093f1,2K,,,,
Air-Sea Battle,Atari ,PAL,8aad33da907bed78b76b87fceaa838c1,2K,,,,
Airlock,Data Age,NTSC,4d77f291dca1518d7d8e47838695f54b,4K,,,,
Go Go Home Monster,Home Vision ,PAL,103f1756d9dc0dd2b16b53ad0f0f1859,4K,,,,
